<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230301,000100,23273.0100000,23275.3500000,23249.5500000,23270.7600000,12
GDAX.BTC-USD,1,20230301,000200,23270.9800000,23281.7400000,23265.3600000,23270.8300000,6
GDAX.BTC-USD,1,20230301,000300,23270.8300000,23270.8300000,23246.7700000,23252.1900000,15
GDAX.BTC-USD,1,20230301,000400,23256.0300000,23256.3800000,23231.4500000,23235.2800000,12
GDAX.BTC-USD,1,20230301,000500,23233.8200000,23234.4300000,23196.4000000,23211.8100000,18
GDAX.BTC-USD,1,20230301,000600,23210.2500000,23220.2800000,23190.0000000,23210.7600000,11
GDAX.BTC-USD,1,20230301,000700,23210.0300000,23217.7900000,23185.2400000,23187.8500000,10
GDAX.BTC-USD,1,20230301,000800,23185.1000000,23191.6900000,23180.0400000,23189.3000000,20
GDAX.BTC-USD,1,20230301,000900,23186.4500000,23207.2200000,23174.1300000,23203.9700000,10
GDAX.BTC-USD,1,20230301,001000,23202.3100000,23217.5800000,23187.3100000,23189.8200000,8
GDAX.BTC-USD,1,20230301,001100,23189.8400000,23196.3800000,23166.0900000,23174.2600000,12
GDAX.BTC-USD,1,20230301,001200,23177.1200000,23178.3000000,23133.3500000,23137.5900000,25
GDAX.BTC-USD,1,20230301,001300,23133.8300000,23144.0200000,23117.0000000,23141.0200000,20
GDAX.BTC-USD,1,20230301,001400,23142.2200000,23158.3800000,23118.6400000,23153.0200000,16
GDAX.BTC-USD,1,20230301,001500,23157.1100000,23176.6400000,23153.5300000,23171.7800000,24
GDAX.BTC-USD,1,20230301,001600,23171.7000000,23198.3800000,23160.0300000,23197.2100000,7
GDAX.BTC-USD,1,20230301,001700,23195.1200000,23210.0100000,23183.8900000,23190.5400000,9
GDAX.BTC-USD,1,20230301,001800,23189.0300000,23212.1400000,23185.0000000,23207.7800000,10
GDAX.BTC-USD,1,20230301,001900,23209.0500000,23214.4300000,23187.5100000,23204.2200000,17
GDAX.BTC-USD,1,20230301,002000,23204.2300000,23210.9600000,23192.4100000,23192.4100000,5
GDAX.BTC-USD,1,20230301,002100,23192.3200000,23193.3700000,23162.0100000,23163.9200000,6
GDAX.BTC-USD,1,20230301,002200,23165.6800000,23182.1800000,23158.9400000,23174.4100000,6
GDAX.BTC-USD,1,20230301,002300,23173.1700000,23176.2400000,23165.8100000,23168.0700000,4
GDAX.BTC-USD,1,20230301,002400,23168.8000000,23176.7400000,23167.2400000,23174.1000000,3
GDAX.BTC-USD,1,20230301,002500,23173.3900000,23173.3900000,23154.7000000,23160.7500000,5
GDAX.BTC-USD,1,20230301,002600,23160.7300000,23195.4800000,23156.8300000,23195.4800000,4
GDAX.BTC-USD,1,20230301,002700,23193.7200000,23203.6100000,23192.6000000,23194.8500000,2
GDAX.BTC-USD,1,20230301,002800,23196.3800000,23201.2000000,23193.4200000,23199.1600000,5
GDAX.BTC-USD,1,20230301,002900,23199.9000000,23208.4900000,23192.3000000,23193.8500000,5
GDAX.BTC-USD,1,20230301,003000,23193.8500000,23199.1700000,23191.4100000,23197.3900000,2
GDAX.BTC-USD,1,20230301,003100,23197.3900000,23199.5600000,23172.3600000,23177.7500000,4
GDAX.BTC-USD,1,20230301,003200,23177.7000000,23177.7000000,23163.9100000,23168.8200000,5
GDAX.BTC-USD,1,20230301,003300,23169.3100000,23172.8800000,23145.0100000,23147.8300000,7
GDAX.BTC-USD,1,20230301,003400,23149.1700000,23163.7800000,23141.7900000,23143.3600000,9
GDAX.BTC-USD,1,20230301,003500,23143.3600000,23144.7000000,23059.5500000,23065.3200000,63
GDAX.BTC-USD,1,20230301,003600,23063.2400000,23128.4000000,23053.0000000,23103.7200000,29
GDAX.BTC-USD,1,20230301,003700,23104.7500000,23117.9600000,23082.6100000,23092.0200000,17
GDAX.BTC-USD,1,20230301,003800,23090.5800000,23099.1700000,23057.1700000,23063.5100000,33
GDAX.BTC-USD,1,20230301,003900,23067.0100000,23111.3600000,23065.0700000,23093.3700000,20
GDAX.BTC-USD,1,20230301,004000,23092.0400000,23102.3400000,23068.8700000,23094.7300000,26
GDAX.BTC-USD,1,20230301,004100,23094.0800000,23097.9400000,23066.8000000,23071.9000000,17
GDAX.BTC-USD,1,20230301,004200,23073.0300000,23080.7400000,23043.7000000,23054.5100000,35
GDAX.BTC-USD,1,20230301,004300,23054.5000000,23056.2200000,23040.0200000,23043.0700000,9
GDAX.BTC-USD,1,20230301,004400,23043.8700000,23061.7500000,23027.2400000,23061.3600000,17
GDAX.BTC-USD,1,20230301,004500,23061.7600000,23094.3800000,23061.6800000,23092.0400000,6
GDAX.BTC-USD,1,20230301,004600,23092.0400000,23093.6200000,23056.9600000,23058.2800000,7
GDAX.BTC-USD,1,20230301,004700,23055.0000000,23096.6400000,23054.0000000,23096.6400000,4
GDAX.BTC-USD,1,20230301,004800,23095.6800000,23103.3400000,23043.1700000,23068.6700000,43
GDAX.BTC-USD,1,20230301,004900,23068.6800000,23082.1700000,23061.4000000,23080.0000000,5
GDAX.BTC-USD,1,20230301,005000,23078.4200000,23087.3000000,23064.9600000,23083.4800000,6
GDAX.BTC-USD,1,20230301,005100,23084.0700000,23086.4200000,23066.9000000,23079.7600000,10
GDAX.BTC-USD,1,20230301,005200,23079.7600000,23093.2700000,23070.0300000,23074.2600000,5
GDAX.BTC-USD,1,20230301,005300,23074.1900000,23118.8900000,23073.7900000,23118.8900000,12
GDAX.BTC-USD,1,20230301,005400,23119.6600000,23149.3900000,23119.6600000,23138.4200000,12
GDAX.BTC-USD,1,20230301,005500,23140.1000000,23154.9900000,23138.3000000,23152.4500000,7
GDAX.BTC-USD,1,20230301,005600,23152.4200000,23156.4100000,23133.2600000,23146.7700000,9
GDAX.BTC-USD,1,20230301,005700,23146.7700000,23147.0600000,23133.2400000,23136.0500000,7
GDAX.BTC-USD,1,20230301,005800,23136.7200000,23154.4500000,23134.3400000,23141.4300000,9
GDAX.BTC-USD,1,20230301,005900,23141.4300000,23154.3100000,23141.4300000,23150.4600000,14
GDAX.BTC-USD,1,20230301,010000,23150.5000000,23152.3700000,23136.4600000,23145.8200000,34
GDAX.BTC-USD,1,20230301,010100,23145.0100000,23145.1900000,23111.0600000,23111.0700000,21
GDAX.BTC-USD,1,20230301,010200,23111.0700000,23140.9200000,23100.5300000,23125.3300000,20
GDAX.BTC-USD,1,20230301,010300,23125.3400000,23163.1500000,23125.3400000,23155.7000000,15
GDAX.BTC-USD,1,20230301,010400,23155.7000000,23171.0400000,23155.7000000,23160.5400000,12
GDAX.BTC-USD,1,20230301,010500,23160.5400000,23176.3000000,23160.5400000,23171.5100000,4
GDAX.BTC-USD,1,20230301,010600,23171.1300000,23178.3700000,23160.0100000,23169.1400000,12
GDAX.BTC-USD,1,20230301,010700,23170.4200000,23180.5500000,23167.1700000,23177.4000000,6
GDAX.BTC-USD,1,20230301,010800,23176.4900000,23176.4900000,23158.3000000,23166.5300000,4
GDAX.BTC-USD,1,20230301,010900,23166.9200000,23188.0200000,23166.8800000,23179.7500000,10
GDAX.BTC-USD,1,20230301,011000,23179.7500000,23191.0000000,23179.6200000,23185.4900000,5
GDAX.BTC-USD,1,20230301,011100,23185.4600000,23201.5200000,23184.6100000,23194.1300000,10
GDAX.BTC-USD,1,20230301,011200,23195.1500000,23208.0600000,23194.2300000,23208.0200000,6
GDAX.BTC-USD,1,20230301,011300,23208.0100000,23213.0200000,23204.2600000,23209.1400000,8
GDAX.BTC-USD,1,20230301,011400,23209.7400000,23210.9800000,23193.6300000,23203.7800000,7
GDAX.BTC-USD,1,20230301,011500,23203.7700000,23231.7200000,23203.7700000,23227.7600000,10
GDAX.BTC-USD,1,20230301,011600,23227.7600000,23236.9800000,23217.7100000,23220.0100000,5
GDAX.BTC-USD,1,20230301,011700,23220.0100000,23243.8000000,23220.0000000,23236.8500000,7
GDAX.BTC-USD,1,20230301,011800,23236.8400000,23237.5600000,23216.8700000,23232.2600000,6
GDAX.BTC-USD,1,20230301,011900,23232.0000000,23232.0000000,23218.0200000,23221.9900000,8
GDAX.BTC-USD,1,20230301,012000,23221.9800000,23225.8500000,23211.4100000,23211.4100000,3
GDAX.BTC-USD,1,20230301,012100,23210.2700000,23220.1200000,23198.1100000,23219.3100000,9
GDAX.BTC-USD,1,20230301,012200,23219.3000000,23220.5400000,23209.6600000,23215.5700000,6
GDAX.BTC-USD,1,20230301,012300,23217.2600000,23226.8400000,23215.6100000,23217.9600000,3
GDAX.BTC-USD,1,20230301,012400,23217.9600000,23219.9400000,23204.0500000,23204.3600000,4
