<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,1,20230301,000100,1627.4400000,1627.6100000,1625.4000000,1626.6800000,238
GDAX.ETH-USD,1,20230301,000200,1626.8200000,1627.6000000,1626.4700000,1627.1300000,124
GDAX.ETH-USD,1,20230301,000300,1627.0600000,1627.0600000,1625.1400000,1625.6500000,68
GDAX.ETH-USD,1,20230301,000400,1625.6500000,1625.7400000,1624.2000000,1624.6900000,133
GDAX.ETH-USD,1,20230301,000500,1624.6800000,1624.8400000,1620.8000000,1622.5400000,365
GDAX.ETH-USD,1,20230301,000600,1622.4800000,1622.9200000,1620.2900000,1622.4900000,291
GDAX.ETH-USD,1,20230301,000700,1622.4500000,1623.0000000,1619.4100000,1619.6400000,175
GDAX.ETH-USD,1,20230301,000800,1619.6200000,1619.9800000,1618.3900000,1618.9900000,173
GDAX.ETH-USD,1,20230301,000900,1618.9700000,1620.7200000,1618.1700000,1619.9200000,810
GDAX.ETH-USD,1,20230301,001000,1619.9100000,1620.4100000,1618.3000000,1618.4300000,133
GDAX.ETH-USD,1,20230301,001100,1618.4200000,1619.3000000,1616.0100000,1616.6800000,266
GDAX.ETH-USD,1,20230301,001200,1616.6800000,1616.8500000,1612.9800000,1614.3600000,1096
GDAX.ETH-USD,1,20230301,001300,1614.3500000,1614.7900000,1612.3400000,1614.3300000,290
GDAX.ETH-USD,1,20230301,001400,1614.2800000,1615.5600000,1612.5500000,1615.1400000,220
GDAX.ETH-USD,1,20230301,001500,1615.4800000,1616.0900000,1614.1100000,1615.0200000,149
GDAX.ETH-USD,1,20230301,001600,1614.9800000,1617.7000000,1614.2900000,1617.5300000,91
GDAX.ETH-USD,1,20230301,001700,1617.5100000,1618.3100000,1616.6500000,1616.8800000,77
GDAX.ETH-USD,1,20230301,001800,1616.8000000,1618.8500000,1616.6900000,1618.5200000,136
GDAX.ETH-USD,1,20230301,001900,1618.5000000,1618.8600000,1617.0400000,1618.2700000,185
GDAX.ETH-USD,1,20230301,002000,1618.2500000,1619.0400000,1617.4700000,1617.7100000,118
GDAX.ETH-USD,1,20230301,002100,1617.6800000,1617.7200000,1615.1300000,1615.1900000,66
GDAX.ETH-USD,1,20230301,002200,1615.2900000,1616.1800000,1615.0500000,1615.5700000,144
GDAX.ETH-USD,1,20230301,002300,1615.5700000,1615.7100000,1615.1000000,1615.2600000,94
GDAX.ETH-USD,1,20230301,002400,1615.3500000,1615.6000000,1614.7700000,1614.9200000,90
GDAX.ETH-USD,1,20230301,002500,1614.9200000,1614.9200000,1613.4200000,1613.8100000,128
GDAX.ETH-USD,1,20230301,002600,1613.9000000,1617.0700000,1613.7600000,1616.9900000,119
GDAX.ETH-USD,1,20230301,002700,1616.9600000,1617.4000000,1616.0500000,1616.2300000,136
GDAX.ETH-USD,1,20230301,002800,1616.1900000,1616.7500000,1616.0500000,1616.7500000,86
GDAX.ETH-USD,1,20230301,002900,1616.7600000,1617.1700000,1616.3000000,1616.3400000,31
GDAX.ETH-USD,1,20230301,003000,1616.3400000,1616.4000000,1616.0700000,1616.2700000,60
GDAX.ETH-USD,1,20230301,003100,1616.2600000,1616.3700000,1613.7500000,1613.7500000,73
GDAX.ETH-USD,1,20230301,003200,1613.7300000,1613.7300000,1611.9500000,1612.2700000,146
GDAX.ETH-USD,1,20230301,003300,1612.2600000,1612.3600000,1609.4000000,1610.1800000,486
GDAX.ETH-USD,1,20230301,003400,1610.2500000,1611.4900000,1608.8300000,1609.5100000,177
GDAX.ETH-USD,1,20230301,003500,1609.5200000,1609.5200000,1603.1600000,1603.1800000,1044
GDAX.ETH-USD,1,20230301,003600,1603.4000000,1608.1500000,1602.7500000,1605.7100000,321
GDAX.ETH-USD,1,20230301,003700,1605.8600000,1606.7000000,1603.2000000,1603.8700000,308
GDAX.ETH-USD,1,20230301,003800,1603.8600000,1604.0300000,1597.3200000,1598.5500000,1206
GDAX.ETH-USD,1,20230301,003900,1598.6700000,1603.4200000,1598.3400000,1602.6100000,181
GDAX.ETH-USD,1,20230301,004000,1602.6100000,1603.3800000,1600.7200000,1602.6100000,254
GDAX.ETH-USD,1,20230301,004100,1602.6600000,1603.0900000,1600.4500000,1600.8300000,194
GDAX.ETH-USD,1,20230301,004200,1600.9700000,1601.2000000,1597.7000000,1599.7500000,227
GDAX.ETH-USD,1,20230301,004300,1599.8400000,1600.8400000,1599.2300000,1600.6200000,205
